id,time,ipa,category,gloss,frequency
agiþō,-2000,ħoˈkʲeteħ,noun,agiþō,1
agiþō,200,ˈɑɣiθ̠ɔː,noun,,
kanjō,-2000,gʲonˈχejoħ,verb.pres.1sg,kanjō,1
kanjō,200,ˈkɑnjɔː,verb.pres.1sg,,
harmô,-2000,ˈkʲormoː,noun,harmô,1
harmô,900,ˈxæɑrmɑ,noun,,
hlīdō,-2000,kʲlejˈteħ,noun,hlīdō,1
hlīdō,200,ˈxliːð̠ɔː,noun,,
hlīþrō,-2000,ˈkʲlejtreħ,noun,hlīþrō,1
hlīþrō,200,ˈxliːθ̠rɔː,noun,,
hulisō,-2000,ˈkʲeloːs,noun,hulisō,1
hulisō,200,ˈxulisɔː,noun,,
þarzijō,-2000,torˈsejoħ,verb.pres.1sg,þarzijō,1
þarzijō,200,ˈθ̠ɑrzijɔː,verb.pres.1sg,,
wakwaz,-2000,ˈwogʷos,adj,wakwaz,1
wakwaz,200,ˈwɑkʷɑz,adj,,
wranhō,-2000,ˈwronkeħ,noun,wranhō,1
wranhō,200,ˈwrɑ̃ːxɔː,noun,,
aitaz,-2000,ˈħojdos,noun,aitaz,1
aitaz,200,ˈɑjtɑz,noun,,
ampraz,-2000,aˈmros,adj,ampraz,1
ampraz,200,ˈɑmprɑz,adj,,
waitijō,-2000,wojˈdejoħ,verb.pres.1sg,waitijō,1
waitijō,200,ˈwɑjtijɔː,verb.pres.1sg,,
muþraz,-2000,ˈmuχtrom,noun,muþraz,1
muþraz,200,ˈmuθ̠rɑz,noun,,
laudaz,-2000,ˈχlowdʱos,noun,laudaz,1
laudaz,200,ˈlɑwð̠ɑz,noun,,
wididi,-2000,ˈwedʱeti,verb.pres.3sg,wididi,1
wididi,200,ˈwið̠ið̠i,verb.pres.3sg,,
wedō,-2000,ˈwedʱoħ,verb.pres.1sg,wedō,1
wedō,200,ˈweð̠ɔː,verb.pres.1sg,,
lunaz,-2000,luˈχnos,noun,lunaz,1
lunaz,200,ˈlunɑz,noun,,
stōjō,-2000,stoˈħejoħ,verb.pres.1sg,stōjō,1
stōjō,200,ˈstɔːjɔː,verb.pres.1sg,,
kauzijō,-2000,gʲowˈsejoħ,verb.pres.1sg,kauzijō,1
kauzijō,200,ˈkɑwzijɔː,verb.pres.1sg,,
jeuką,-2000,ˈjewgom,noun,jeuką,1
jeuką,200,ˈjewkɑ̃,noun,,
wastijō,-2000,ˈwestis,noun,wastijō,1
wastijō,200,ˈwɑstijɔː,noun,,
hallą,-2000,ˈkχlnom,noun,hallą,1
hallą,200,ˈxɑllɑ̃,noun,,
hallaz,-2000,ˈkχlnos,adj,hallaz,1
hallaz,200,ˈxɑllɑz,adj,,
twajjaz,-2000,dwojˈχos,adj,twajjaz,1
twajjaz,200,ˈtwɑjjɑz,adj,,
andō,-2000,ħenχˈteħ,noun,andō,1
andō,200,ˈɑndɔː,noun,,
hlewaz,-2000,ˈkʲlewos,noun,hlewaz,1
hlewaz,200,ˈxlewɑz,noun,,
aunaz,-2000,ħeˈgʷʱnos,noun,aunaz,1
aunaz,200,ˈɑwnɑz,noun,,
swēguraz,-2000,sweːkʲuˈros,,swēguraz,1
swēguraz,200,ˈswɛːɣurɑz,,,
maistaz,-2000,ˈmaħistos,,maistaz,1
maistaz,200,ˈmɑjstɑz,,,
frīdaz,-2000,priχˈtos,,frīdaz,1
frīdaz,200,ˈɸriːð̠ɑz,,,
undar,-2000,n̩ˈter,,undar,1
undar,200,ˈundɑr,,,
turhtaz,-2000,dr̩kʲˈtos,,turhtaz,1
turhtaz,200,ˈturxtɑz,,,
hurdiz,-2000,kr̩χˈtis,,hurdiz,1
hurdiz,200,ˈxurð̠iz,,,
wulfą,-2000,ˈwl̩kʷom,,wulfą,1
wulfą,200,ˈwulɸɑ̃,,,
hairaz,-2000,ˈkʲojros,,hairaz,1
hairaz,200,ˈxɑjrɑz,,,
hurhaz,-2000,ˈkr̩kʲos,,hurhaz,1
hurhaz,200,ˈxurxɑz,,,
hwaþaraz,-2000,ˈkʷoteros,,hwaþaraz,1
hwaþaraz,200,ˈxʷɑθ̠ɑrɑz,,,
þrinz,-2000,ˈtrins,,þrinz,1
þrinz,200,ˈθ̠rinz,,,
hwehwlaz,-2000,ˈkʷekwlos,,hwehwlaz,1
hwehwlaz,200,ˈxʷexʷlɑz,,,
niftī,-2000,ˈneptiħ,,niftī,1
niftī,200,ˈniɸtiː,,,
isti,-2000,ˈχesti,,isti,1
isti,200,ˈisti,,,
wait,-2000,ˈwojde,,wait,1
wait,200,ˈwɑjt,,,
nistaz,-2000,nisˈdos,,nistaz,1
nistaz,200,ˈnistɑz,,,
ubar,-2000,uˈper,,ubar,1
ubar,200,ˈuβɑr,,,
anhulō,-2000,ˈħankulaħ,,anhulō,1
anhulō,200,ˈɑ̃ːxulɔː,,,
angulaz,-2000,ħankuˈlos,,angulaz,1
angulaz,200,ˈɑŋgulɑz,,,
siuniz,-2000,sekwˈnis,,siuniz,1
siuniz,200,ˈsiwniz,,,
aþnaz,-2000,ˈatnos,,aþnaz,1
aþnaz,200,ˈɑθ̠nɑz,,,
tabną,-2000,ˈdħpnom,,tabną,1
tabną,200,ˈtɑβnɑ̃,,,
þas,-2000,ˈtosjo,,þas,1
þas,200,ˈθ̠ɑs,,,
